,Date,Home_Team,Away_Team,Spread_Result,Line,O/U_Result
476,2017-12-02,BRK,ATL,,4.5,
477,2017-12-04,ATL,BRK,,,
478,2017-12-06,ORL,ATL,,6.5,
479,2017-12-09,ATL,ORL,,,
480,2017-12-10,NYK,ATL,,5.5,
481,2017-12-12,CLE,ATL,,12.0,
482,2017-12-14,ATL,DET,,,
483,2017-12-15,MEM,ATL,,6.5,
484,2017-12-18,ATL,MIA,,,
485,2017-12-20,ATL,IND,,,
486,2017-12-22,OKC,ATL,,11.0,
487,2017-12-23,ATL,DAL,,,
488,2017-12-27,ATL,WAS,,,
489,2017-12-29,TOR,ATL,,11.0,
490,2017-12-30,ATL,POR,,,
491,2018-01-02,PHO,ATL,,1.0,
492,2018-01-05,POR,ATL,,7.5,
493,2018-01-07,LAL,ATL,,3.5,
494,2018-01-08,LAC,ATL,,4.5,
495,2018-01-10,DEN,ATL,,9.0,
496,2018-01-12,ATL,BRK,,,
497,2018-01-15,ATL,SAS,,,
498,2018-01-17,ATL,NOP,,,
499,2018-01-20,ATL,CHI,,,
500,2018-01-22,ATL,UTA,,,
501,2018-01-24,ATL,TOR,,,
502,2018-01-26,CHO,ATL,,7.5,
503,2018-01-27,ATL,WAS,,,
504,2018-01-29,ATL,MIN,,,
505,2018-01-31,ATL,CHO,,,
506,2018-02-02,BOS,ATL,,7.0,
507,2018-02-04,NYK,ATL,,5.5,
508,2018-02-06,ATL,MEM,,,
509,2018-02-08,ORL,ATL,,-2.0,
510,2018-02-09,ATL,CLE,,,
511,2018-02-11,ATL,DET,,,
512,2018-02-13,MIL,ATL,,7.0,
513,2018-02-14,DET,ATL,,10.5,
514,2018-02-23,IND,ATL,,7.0,
515,2018-02-26,ATL,LAL,,,
516,2018-02-28,ATL,IND,,,
517,2018-03-02,ATL,GSW,,,
518,2018-03-04,ATL,PHO,,,
519,2018-03-06,TOR,ATL,,12.5,
520,2018-03-09,IND,ATL,,9.0,
521,2018-03-11,ATL,CHI,,,
522,2018-03-13,ATL,OKC,,,
523,2018-03-15,ATL,CHO,,,
524,2018-03-17,MIL,ATL,,10.5,
525,2018-03-20,UTA,ATL,,14.0,
526,2018-03-22,SAC,ATL,,4.0,
527,2018-03-23,GSW,ATL,,11.0,
528,2018-03-25,HOU,ATL,,13.0,
529,2018-03-28,MIN,ATL,,12.0,
530,2018-03-30,ATL,PHI,,,
531,2018-04-01,ATL,ORL,,,
532,2018-04-03,MIA,ATL,,12.5,
533,2018-04-04,ATL,MIA,,,
534,2018-04-06,WAS,ATL,,10.5,
535,2018-04-08,BOS,ATL,,9.5,
536,2018-04-10,ATL,PHI,,,
537,2018-10-17,NYK,ATL,,,
538,2018-10-19,MEM,ATL,,,
539,2018-10-21,CLE,ATL,,,
540,2018-10-24,ATL,DAL,,,
541,2018-10-27,ATL,CHI,,,
542,2018-10-29,PHI,ATL,,,
543,2018-10-30,CLE,ATL,,,
544,2018-11-01,ATL,SAC,,,
545,2018-11-03,ATL,MIA,,,
546,2018-11-06,CHO,ATL,,,
547,2018-11-07,ATL,NYK,,,
548,2018-11-09,ATL,DET,,,
549,2018-11-11,LAL,ATL,,,
550,2018-11-13,GSW,ATL,,,
551,2018-11-15,DEN,ATL,,,
552,2018-11-17,IND,ATL,,,
553,2018-11-19,ATL,LAC,,,
554,2018-11-21,ATL,TOR,,,
555,2018-11-23,ATL,BOS,,,
556,2018-11-25,ATL,CHO,,,
557,2018-11-27,MIA,ATL,,,
558,2018-11-28,CHO,ATL,,,
559,2018-11-30,OKC,ATL,,,
560,2018-12-03,ATL,GSW,,,
