,index,Unnamed: 0,home,fg_r,fga_r,3p_r,3pa_r,3p_max_r,ft_r,fta_r,orb_r,drb_r,ast_r,stl_r,blk_r,tov_r,fg_opp_r,fga_opp_r,3p_opp_r,3pa_opp_r,3p_max_opp_r,ft_opp_r,fta_opp_r,orb_opp_r,drb_opp_r,ast_opp_r,stl_opp_r,blk_opp_r,tov_opp_r,team,team_opp,date,PointDifference,Line,Covered
57,57,2062,0,42.33333333,89.66666667,13.33333333,34.33333333,4.333333333,19.66666667,26.66666667,11.0,30.33333333,27.66666667,7.333333333,6.333333333,15.33333333,45.33333333,94.0,11.33333333,31.66666667,3.333333333,20.66666667,24.33333333,13.33333333,31.0,28.0,7.0,7.0,14.33333333,SAS,PHI,10/22/2022,-9,13.5,1
58,58,1667,1,40.0,87.0,11.33333333,32.66666667,4.333333333,17.66666667,24.0,10.66666667,36.0,19.33333333,6.333333333,6.333333333,15.33333333,40.66666667,90.0,15.33333333,38.66666667,5.0,19.0,22.66666667,9.333333333,32.0,27.0,8.666666667,4.0,12.33333333,ORL,BOS,10/22/2022,6,8.5,1
59,59,81,0,43.0,82.66666667,15.0,38.33333333,4.0,20.0,23.66666667,8.333333333,30.33333333,21.66666667,5.666666667,6.666666667,12.33333333,42.33333333,89.0,12.0,31.33333333,4.333333333,17.0,22.0,9.0,29.33333333,20.0,7.0,4.333333333,10.66666667,BOS,ORL,10/22/2022,-6,-8.5,0
60,60,1269,1,41.0,84.5,14.5,36.5,3.5,11.0,17.5,7.5,40.0,26.5,5.0,8.0,14.0,36.0,88.0,10.5,30.5,2.5,14.0,17.5,10.5,35.0,18.5,7.5,5.5,11.0,MIL,HOU,10/22/2022,-20,-13.0,1
61,61,795,0,40.66666667,94.66666667,13.66666667,35.66666667,3.666666667,16.33333333,22.33333333,14.33333333,34.33333333,21.0,5.666666667,5.0,13.66666667,46.0,91.0,14.0,32.66666667,3.333333333,17.66666667,24.66666667,9.666666667,35.33333333,28.33333333,8.666666667,8.333333333,12.33333333,HOU,MIL,10/22/2022,20,13.0,0
62,62,1191,1,39.0,82.66666667,10.33333333,28.0,3.666666667,19.66666667,23.33333333,8.333333333,33.66666667,24.0,5.333333333,2.333333333,14.33333333,39.66666667,86.33333333,13.66666667,36.0,4.0,19.0,23.66666667,10.66666667,31.33333333,21.33333333,8.333333333,7.333333333,13.0,MIA,TOR,10/22/2022,-3,-3.0,0
63,63,875,1,45.0,101.3333333,14.0,39.66666667,4.0,17.66666667,22.33333333,15.33333333,32.33333333,27.0,7.333333333,8.666666667,14.0,41.0,89.33333333,15.33333333,34.66666667,4.333333333,24.66666667,32.66666667,12.66666667,35.0,27.0,6.333333333,5.666666667,15.33333333,IND,DET,10/22/2022,-9,1.5,1
64,64,636,0,38.66666667,93.0,13.66666667,38.66666667,4.666666667,20.33333333,28.66666667,14.0,33.66666667,27.66666667,7.333333333,3.0,13.33333333,45.66666667,94.66666667,14.33333333,36.66666667,4.0,15.33333333,21.66666667,13.66666667,38.66666667,26.0,5.333333333,8.666666667,13.66666667,DET,IND,10/22/2022,9,-1.5,0
65,65,557,1,42.66666667,84.66666667,13.33333333,31.33333333,4.333333333,18.66666667,24.66666667,10.33333333,30.33333333,28.0,8.333333333,3.666666667,19.66666667,42.0,88.33333333,15.33333333,40.0,4.333333333,21.66666667,27.0,9.333333333,32.33333333,30.0,10.0,3.0,16.33333333,DEN,OKC,10/22/2022,-5,-9.0,0
66,66,1586,0,40.0,96.5,14.5,41.5,3.0,18.0,22.5,13.0,39.0,25.5,8.0,5.5,12.5,40.5,89.5,15.0,38.0,4.5,22.5,32.0,11.5,39.0,29.0,5.5,5.5,16.0,OKC,DEN,10/22/2022,5,9.0,1
